registrationdate,catottg_region,region,legalform,area,animal,giftamount,cntuser
2022-11-04,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-11-04,,Не визначений,ФОП,2.8275,0,0,1
2022-11-03,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-11-03,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-11-03,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-11-03,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-11-03,,Не визначений,ФОП,0.0,0,0,4
2022-11-02,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-11-02,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-11-02,,Не визначений,ФОП,0.0,0,0,6
2022-11-01,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-11-01,UA61000000000060328,ТЕРНОПІЛЬСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-11-01,,Не визначений,ФОП,0.0,0,0,1
2022-10-31,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,ФОП,3.9,0,0,1
2022-10-31,UA71000000000010357,ЧЕРКАСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-31,,Не визначений,ФОП,0.0,0,0,5
2022-10-31,,Не визначений,Юридична особа,0.0,0,0,5
2022-10-30,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-30,,Не визначений,Фізична особа,0.0,0,0,1
2022-10-30,,Не визначений,ФОП,2.0,0,0,4
2022-10-29,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-29,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,ФОП,1.0684,0,0,1
2022-10-29,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-29,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-29,,Не визначений,Фізична особа,0.0,0,0,1
2022-10-29,,Не визначений,ФОП,0.0,0,0,2
2022-10-28,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-28,,Не визначений,ФОП,0.0,0,0,6
2022-10-27,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-10-27,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-27,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-27,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-27,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-27,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,Юридична особа,85.6439,0,0,1
2022-10-27,UA74000000000025378,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Юридична особа,137.33669999999992,0,52000,1
2022-10-27,,Не визначений,ФОП,0.0,0,0,5
2022-10-26,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-26,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,ФОП,5.2827,0,0,1
2022-10-26,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-10-17,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-17,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,ФОП,4.42,0,0,1
2022-10-17,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-17,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-17,,Не визначений,ФОП,0.0,0,0,4
2022-10-16,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-16,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-16,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-10-16,,Не визначений,ФОП,0.0,0,0,1
2022-10-15,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-15,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-15,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-15,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-15,,Не визначений,ФОП,0.0,0,0,3
2022-10-14,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-14,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-14,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-14,,Не визначений,ФОП,5.1402,0,0,5
2022-10-13,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-13,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-13,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-13,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-13,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-13,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-13,UA71000000000010357,ЧЕРКАСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-13,,Не визначений,ФОП,0.0,0,0,7
2022-10-12,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-12,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-12,,Не визначений,Фізична особа,0.0,0,0,1
2022-10-12,,Не визначений,ФОП,0.0,0,0,8
2022-10-11,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-11,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-11,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-11,,Не визначений,ФОП,0.0,0,0,6
2022-10-10,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-10,,Не визначений,ФОП,0.0,0,0,4
2022-10-09,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-09,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-09,UA61000000000060328,ТЕРНОПІЛЬСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-09,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-10-09,,Не визначений,ФОП,0.0,0,0,5
2022-10-08,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-08,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-08,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-08,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-08,,Не визначений,ФОП,0.0,0,0,4
2022-10-07,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,ФОП,2.4667000000000003,0,0,1
2022-10-07,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-07,,Не визначений,ФОП,0.0,0,0,3
2022-10-06,,Не визначений,ФОП,0.0,0,0,3
2022-10-04,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-10-04,,Не визначений,Фізична особа,0.0,0,0,1
2022-10-04,,Не визначений,ФОП,0.0,0,0,2
2022-10-03,,Не визначений,ФОП,0.0,0,0,2
2022-10-02,,Не визначений,ФОП,0.0,0,0,1
2022-09-29,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-09-29,,Не визначений,ФОП,0.0,0,0,2
2022-09-28,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,ФОП,4.6323,0,0,2
2022-09-27,,Не визначений,ФОП,0.0,0,0,1
2022-09-25,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-09-24,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,Фізична особа,0.0,0,0,1
2022-09-24,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,3
2022-09-24,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-09-24,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,2.0,0,0,4
2022-09-24,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,3
2022-09-24,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,ФОП,7.3232,0,0,3
2022-09-24,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-09-24,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ФОП,16.5377,0,0,9
2022-09-24,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-09-24,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-09-24,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-09-24,UA63000000000041885,ХАРКІВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,5
2022-09-24,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,4
2022-09-24,UA71000000000010357,ЧЕРКАСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-09-24,,Не визначений,Фізична особа,0.0,0,0,2
2022-09-24,,Не визначений,ФОП,11.5701,0,0,44
2022-09-23,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-09-23,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-09-23,UA21000000000011690,ЗАКАРПАТСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-09-23,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-09-23,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-09-23,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-09-23,UA63000000000041885,ХАРКІВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,2
2022-09-23,,Не визначений,ФОП,0.0,0,0,9
2022-09-20,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,1
2022-09-18,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,Юридична особа,56.159600000000005,0,0,1
2022-09-16,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,ФОП,2.0,0,0,1
2022-09-15,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-09-14,,Не визначений,ФОП,2.0,0,0,1
2022-09-13,UA68000000000099709,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,Юридична особа,70.32430000000001,0,0,1
2022-09-09,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,Юридична особа,78.0564,0,0,1
2022-09-09,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,Юридична особа,36.193799999999996,0,0,1
2022-09-09,,Не визначений,Фізична особа,0.0,0,0,1
2022-09-08,UA05000000000010236,ВІННИЦЬКА ОБЛАСТЬ,Юридична особа,0.0,0,0,1
2022-09-08,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,Юридична особа,1588.9219083333332,1395,0,5
2022-09-08,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,Юридична особа,251.37880000000004,0,0,1
2022-09-08,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,Юридична особа,16.814999999999998,0,0,2
2022-09-08,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,8
2022-09-08,,Не визначений,Фізична особа,2300.0,0,0,9
2022-09-08,,Не визначений,Юридична особа,0.0,0,0,3
2022-09-07,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,1
2022-09-06,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,Юридична особа,8.407499999999999,0,0,1
2022-09-04,,Не визначений,Фізична особа,0.0,1,0,1
2022-09-03,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Фізична особа,62.9655,0,0,1
2022-09-02,,Не визначений,Юридична особа,0.0,0,0,1
2022-08-30,,Не визначений,Юридична особа,0.0,0,0,4
