LegalForm,catottg_region,Region,Name,SexName,AnimalGender,animal
Юридична особа,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,2557
Юридична особа,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,1
Юридична особа,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,2
Юридична особа,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,3
Юридична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,Вівці,"Барани, баранчики",Самці,2
Юридична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,Вівці,Вівцематка,Самиці,6
Юридична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,Вівці,Ярка,Самиці,26
Юридична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,Свині,"Кнур, кнурець",Самці,4
Юридична особа,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Вівці,"Барани, баранчики",Самці,56
Юридична особа,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Вівці,Вівцематка,Самиці,476
Юридична особа,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Вівці,Ярка,Самиці,1614
Юридична особа,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ВРХ,"Бугаєць,бугай",Самці,48
Юридична особа,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,157
Юридична особа,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,154
Юридична особа,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Не визначений,"Кнур, кнурець",Самці,224
Юридична особа,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Не визначений,Свинка,Самиці,606
Юридична особа,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Не визначений,Свиноматка,Самиці,3069
Юридична особа,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,Не визначений,"Кнур, кнурець",Самці,3
Юридична особа,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,126
Юридична особа,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,183
Юридична особа,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,Коні,Жеребець,Самці,3
Юридична особа,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,Не визначений,"Кнур, кнурець",Самці,18
Юридична особа,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,Не визначений,Свиноматка,Самиці,81
Юридична особа,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,ВРХ,"Бугаєць,бугай",Самці,57
Юридична особа,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,340
Юридична особа,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,155
Юридична особа,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,Не визначений,Свиноматка,Самиці,1
Юридична особа,UA71000000000010357,ЧЕРКАСЬКА ОБЛАСТЬ,ВРХ,"Бугаєць,бугай",Самці,327
Юридична особа,UA71000000000010357,ЧЕРКАСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,765
Юридична особа,UA71000000000010357,ЧЕРКАСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,611
Юридична особа,UA71000000000010357,ЧЕРКАСЬКА ОБЛАСТЬ,Не визначений,"Кнур, кнурець",Самці,34
Юридична особа,UA71000000000010357,ЧЕРКАСЬКА ОБЛАСТЬ,Не визначений,Свиноматка,Самиці,232
Юридична особа,UA74000000000025378,ЧЕРНІГІВСЬКА ОБЛАСТЬ,ВРХ,"Бугаєць,бугай",Самці,87
Юридична особа,UA74000000000025378,ЧЕРНІГІВСЬКА ОБЛАСТЬ,ВРХ,Корова,Самиці,662
Юридична особа,UA74000000000025378,ЧЕРНІГІВСЬКА ОБЛАСТЬ,ВРХ,Телиця,Самиці,454
Юридична особа,,Не визначено,ВРХ,Корова,Самиці,5
Юридична особа,,Не визначено,ВРХ,Телиця,Самиці,2
